"","P2","P3","P4","P6_9","P8_1","P8_2","P8_3","P8_4","P8_5","P9_2","P9_4","P9_5","P10_1","P10_2","P11_1","P11_2","P11_3","P11_6","P17_4","P17_6","P17_18","P18_2","P18_3","P18_4","P20_1","P20_2","P20_4","P20_5","P20_6","P20_7","P20_10","P34_5","P34_9","P36_2","P36_3","P36_4","P38","P39_1","P39_2","P39_3","P39_4","P39_5","P41_1","P41_2","P41_3","P41_4","P41_5","P41_6","P41_7","P41_8","P45_1","P45_2","P45_3","P46_1","P46_2","P46_3","P46_4","P46_5","P47_1","P47_2","P47_3","P47_4"
"P2",NA,0.023,0.073,0.846,0.805,0.002,0.651,0.031,0.608,0.134,0.471,0.522,0.724,0.05,0.105,0.491,0.702,0.117,0.332,0.208,0.349,0.385,0.869,0.694,0.835,0.767,0.581,0.471,0.526,0.459,0.08,0.35,0.689,0.921,0.72,0.069,0.086,0.306,0.463,0.285,0.715,0.304,0,0.47,0.511,0.463,0.669,0.879,0.531,0.183,0.94,0.064,0.994,0.65,0.613,0.722,0.342,0.214,0.049,0.034,0.037,0.068
"P3",0.023,NA,0.745,0.924,0.986,0.007,0.541,0.968,0.074,1,0.614,0.061,1,0.146,0.054,1,1,0.788,0.529,0.24,0.008,0.03,0.158,0.182,1,0.128,0.968,0.614,0.864,0.715,1,0.242,0.842,0.192,0.9,0.038,0.681,0.616,1,0.011,0.217,0.131,1,0.797,1,0.238,0.938,1,0.075,0.97,0.918,0.575,0.28,0.288,0.262,0.884,0.996,0.14,0.827,0.788,0.766,0.986
"P4",0.073,0.745,NA,0.297,0.314,0.49,0.527,0.151,0.097,0.377,0.546,0.711,0.776,0.519,0.046,0.379,0.291,0.066,0.884,0.002,0,0.164,0.334,0.618,0.574,0.598,0.668,0.546,0.163,0.337,0.276,0.537,0.8,0.183,0.779,0.717,0.762,0.03,0.427,0.152,0.413,0.396,0.637,0.168,0.135,0.98,0.334,0.063,0.727,0.008,0.649,0.164,0.779,0.066,0.338,0.538,0.561,0.838,0.249,0.088,0.204,0.586
"P6_9",0.846,0.924,0.297,NA,0.577,0.659,0.655,0.914,0.888,0.088,0.273,0.469,0.731,0.613,0.564,0.649,0.861,0.344,0,0.001,0.09,0.257,0.764,0.528,0.642,0.365,0.764,0.946,0.402,0.331,0.309,0.002,0.017,0.528,0.651,0.994,0.122,0.469,0.561,0.268,0.047,0.582,0.367,0.351,0.145,0.242,0.65,0.572,0.651,0.158,0.367,0.086,0.831,0.176,0.466,0.546,0.766,0.873,0.221,0.204,0.383,0.16
"P8_1",0.805,0.986,0.314,0.577,NA,1,0.113,0.349,0.581,1,1,0.432,0.735,1,0.568,0.489,0.574,0.928,0.347,0.81,0.554,0.96,1,0.273,1,0.844,1,1,1,0.347,0.083,0.052,0.63,0.846,0.153,0.056,0.391,0.136,0.825,0.96,1,0.817,0.507,1,0.204,0.61,0.696,0.467,0.153,0.347,0.572,0.703,0.202,0.993,0.506,1,0.735,1,0.384,0.239,0.094,0.496
"P8_2",0.002,0.007,0.49,0.659,1,NA,0.07,1,0.577,0.367,1,0.664,1,0.988,0.001,0.881,1,0.738,0.799,0.519,0.797,0.018,0.89,0.738,1,1,1,0.76,0.289,1,0.32,0.697,0.97,0.378,0.004,0.136,0.033,0.478,1,0.284,1,1,0.123,0.503,1,0.246,1,0.478,0.378,0.437,0.816,1,1,1,1,1,0.21,0.055,0.431,0.378,0.29,0.049
"P8_3",0.651,0.541,0.527,0.655,0.113,0.07,NA,0.892,0.875,0.081,0.578,0.451,0.188,1,0.098,0.685,0.779,1,0.38,0.242,0.975,0.802,1,0.546,1,0.209,0.068,0.578,0.965,0.785,0.441,0.268,0.398,0.201,1,0.603,0.563,0.476,1,0.429,0.779,0.415,0.371,0.186,0.317,0.809,1,0.532,0.079,0.596,0.603,0.076,0.201,1,0.965,0.053,0.854,0.25,0.131,0.907,1,1
"P8_4",0.031,0.968,0.151,0.914,0.349,1,0.892,NA,0.328,1,1,0.814,1,1,1,0.935,1,1,0.495,0.946,0.767,0.561,0.94,0.633,0.861,0.667,1,1,0.924,0.479,1,0.075,0.942,0.414,0.222,0.853,0.414,0.924,0.866,0.561,1,1,0.137,1,0.031,0.866,0.096,0.924,0.222,0.309,0.264,0.237,1,1,0.745,0.389,0.497,0.335,0.793,0.795,1,0.867
"P8_5",0.608,0.074,0.097,0.888,0.581,0.577,0.875,0.328,NA,1,0.579,0,1,1,0.818,0.474,0.988,0.694,0.351,0.246,0.398,0.577,0.59,1,0.444,0.447,0.762,1,1,0.748,1,0.151,0.691,0.626,1,1,0.71,0.462,0.883,0.308,1,0.428,1,1,0.271,1,1,0.462,0.228,0.774,1,0.256,0.095,0.038,0.884,0.271,0.121,0.043,0.56,0.071,1,1
"P9_2",0.134,1,0.377,0.088,1,0.367,0.081,1,1,NA,1,0.152,0.86,1,0.766,0.923,1,0.448,0.074,0.451,0.966,0.067,1,0.06,0.895,1,0.989,1,1,0.156,0.367,0.575,0.077,1,0.702,0.418,0.034,0.438,0.62,0.979,1,0.86,0.39,1,1,1,0.813,1,0.702,0.483,0.461,1,0.702,0.812,0.563,0.654,0.86,1,0.966,0.152,0.983,1
